graph_index,graph,n,initialization,editsWeight,usedIterations,actualPlateau,time,solved,solution_cost,time_exact,ratio
2457,bio-nr-2457-size-3,3,trivial,0,2,0,17.013538861647252,True,0,0.000285387,1.0
2458,bio-nr-2458-size-23,23,trivial,1984,3,0,0.2304569352418185,True,1984,0.0055001469999999995,1.0
2459,bio-nr-2459-size-8,8,trivial,0,2,0,0.14628306962549684,True,0,0.00022522599999999997,1.0
2460,bio-nr-2460-size-8,8,trivial,918,3,0,0.16369204968214035,True,918,0.000924888,1.0
2461,bio-nr-2461-size-9,9,trivial,684,3,0,0.190899008885026,True,684,0.000879873,1.0
2462,bio-nr-2462-size-13,13,trivial,0,2,0,0.17421902157366276,True,0,0.000266107,1.0
2463,bio-nr-2463-size-4,4,trivial,31,2,0,0.15585101209580898,True,31,0.0007528519999999999,1.0
2464,bio-nr-2464-size-7,7,trivial,5,2,0,0.17658504657447338,True,5,0.00077422,1.0
2465,bio-nr-2465-size-7,7,trivial,44,2,0,0.14090817421674728,True,44,0.000753885,1.0
2466,bio-nr-2466-size-15,15,trivial,0,2,0,0.1890349667519331,True,0,0.000368275,1.0
2467,bio-nr-2467-size-12,12,trivial,1010,2,0,0.182009069249034,True,1010,0.001130016,1.0
2468,bio-nr-2468-size-4,4,trivial,0,2,0,0.12119882740080355,True,0,0.000225967,1.0
2469,bio-nr-2469-size-7,7,trivial,0,3,0,0.17185485921800134,True,0,0.000272239,1.0
2470,bio-nr-2470-size-4,4,trivial,0,2,0,27.324035996571183,True,0,0.00020406799999999998,1.0
2471,bio-nr-2471-size-6,6,trivial,0,2,0,0.16256095841526985,True,0,0.000193209,1.0
2472,bio-nr-2472-size-19,19,trivial,1865,3,0,0.2839029766619205,True,1865,0.0022266770000000003,1.0
2473,bio-nr-2473-size-4,4,trivial,0,2,0,0.12441887520253656,True,0,0.000185261,1.0
2474,bio-nr-2474-size-8,8,trivial,0,3,0,24.09403491765261,True,0,0.000275875,1.0
2475,bio-nr-2475-size-5,5,trivial,0,2,0,0.12905802577733996,True,0,0.000250498,1.0
2476,bio-nr-2476-size-7,7,trivial,182,2,0,29.374184086918827,True,182,0.00068648,1.0
2477,bio-nr-2477-size-3,3,trivial,0,2,0,0.12549106031656265,True,0,0.000244095,1.0
2478,bio-nr-2478-size-5,5,trivial,0,3,0,39.03294401243329,True,0,0.000208572,1.0
2479,bio-nr-2479-size-4,4,trivial,0,2,0,0.1613160129636526,True,0,0.000228638,1.0
2480,bio-nr-2480-size-6,6,trivial,0,3,0,0.17563882283866405,True,0,0.00024394599999999998,1.0
2481,bio-nr-2481-size-5,5,trivial,0,2,0,0.14501693658530712,True,0,0.00022777,1.0
2482,bio-nr-2482-size-4,4,trivial,0,2,0,0.1245071180164814,True,0,0.000223012,1.0
2483,bio-nr-2483-size-6,6,trivial,0,2,0,18.57817312702537,True,0,0.000245076,1.0
2484,bio-nr-2484-size-4,4,trivial,0,2,0,0.15622703358530998,True,0,0.00023766599999999998,1.0
2485,bio-nr-2485-size-7,7,trivial,0,3,0,0.16731000505387786,True,0,0.000222497,1.0
2486,bio-nr-2486-size-11,11,trivial,0,5,4,4.718533018603921,True,0,0.000281653,1.0
2487,bio-nr-2487-size-3,3,trivial,0,2,0,0.1192609779536724,True,0,0.00019648200000000002,1.0
2488,bio-nr-2488-size-20,20,trivial,2671,4,0,0.36164396442472935,True,2671,0.003395151,1.0
2489,bio-nr-2489-size-24,24,trivial,725,4,0,0.3080470487475395,True,725,0.0029956270000000003,1.0
2490,bio-nr-2490-size-4,4,trivial,0,2,0,0.12673879973590374,True,0,0.00021878400000000002,1.0
2491,bio-nr-2491-size-11,11,trivial,0,2,0,0.16725598834455013,True,0,0.0002575,1.0
2492,bio-nr-2492-size-7,7,trivial,104,2,0,0.1739680301398039,True,104,0.000735575,1.0
2493,bio-nr-2493-size-22,22,editing,1978,2,0,14.798799064010382,True,1978,0.021109572000000004,1.0
2494,bio-nr-2494-size-6,6,trivial,0,3,0,0.15380489639937878,True,0,0.00021649,1.0
2495,bio-nr-2495-size-18,18,trivial,0,2,0,0.2221160102635622,True,0,0.000390661,1.0
2496,bio-nr-2496-size-4,4,trivial,0,2,0,0.14325394295156002,True,0,0.000217879,1.0
2497,bio-nr-2497-size-7,7,trivial,181,3,0,0.16345013864338398,True,181,0.000714235,1.0
2498,bio-nr-2498-size-16,16,trivial,124,5,0,0.3321901895105839,True,124,0.0010145360000000001,1.0
2499,bio-nr-2499-size-10,10,trivial,0,2,0,0.15513109974563122,True,0,0.000257915,1.0
2500,bio-nr-2500-size-21,21,trivial,396,5,0,0.4577538929879666,True,396,0.001196312,1.0
2501,bio-nr-2501-size-9,9,trivial,0,2,0,0.1743410248309374,True,0,0.00024328200000000002,1.0
2502,bio-nr-2502-size-8,8,trivial,0,3,0,30.99119802936912,True,0,0.000251454,1.0
2503,bio-nr-2503-size-12,12,trivial,335,4,0,0.2267539966851473,True,335,0.001314461,1.0
2504,bio-nr-2504-size-12,12,trivial,117,3,0,0.21042604930698872,True,117,0.00113567,1.0
2505,bio-nr-2505-size-6,6,trivial,0,3,0,17.732161097228527,True,0,0.000246211,1.0
2506,bio-nr-2506-size-11,11,trivial,0,3,0,0.20217406563460827,True,0,0.000270926,1.0
2507,bio-nr-2507-size-11,11,trivial,0,3,0,0.1984618138521909,True,0,0.000283906,1.0
2508,bio-nr-2508-size-11,11,trivial,0,3,0,0.2056318335235119,True,0,0.000259289,1.0
2509,bio-nr-2509-size-19,19,trivial,412,3,0,0.27288799174129963,True,412,0.0023428520000000003,1.0
2510,bio-nr-2510-size-11,11,trivial,576,3,0,12.864732183516026,True,576,0.002713891,1.0
2511,bio-nr-2511-size-8,8,trivial,0,2,0,0.1589751336723566,True,0,0.000239132,1.0
2512,bio-nr-2512-size-3,3,trivial,0,2,0,0.12895604595541954,True,0,0.000218285,1.0
2513,bio-nr-2513-size-5,5,trivial,0,2,0,28.905781917274,True,0,0.00024044799999999999,1.0
2514,bio-nr-2514-size-3,3,trivial,0,2,0,0.1271301880478859,True,0,0.00019345400000000002,1.0
2515,bio-nr-2515-size-4,4,trivial,0,2,0,0.12217299081385136,True,0,0.000355102,1.0
2516,bio-nr-2516-size-8,8,trivial,23,2,0,0.13211299665272236,True,23,0.000803085,1.0
2517,bio-nr-2517-size-10,10,trivial,1174,4,0,0.2184761688113213,True,1174,0.00541209,1.0
2518,bio-nr-2518-size-24,24,trivial,820,2,0,33.02138205617666,True,820,0.003932086,1.0
2519,bio-nr-2519-size-11,11,trivial,0,3,0,0.22443500347435474,True,0,0.00031705,1.0
2520,bio-nr-2520-size-19,19,trivial,4131,3,0,0.2748179249465465,True,4131,0.010027848,1.0
2521,bio-nr-2521-size-3,3,trivial,0,2,0,0.12070313096046448,True,0,0.00019193099999999998,1.0
2522,bio-nr-2522-size-3,3,trivial,0,2,0,0.12437207624316216,True,0,0.000213995,1.0
2523,bio-nr-2523-size-8,8,trivial,0,2,0,0.14081597328186035,True,0,0.00023941400000000002,1.0
2524,bio-nr-2524-size-12,12,trivial,784,3,0,0.19382103346288204,True,784,0.001110277,1.0
2525,bio-nr-2525-size-9,9,trivial,102,3,0,0.18401606939733028,True,102,0.0008022060000000001,1.0
2526,bio-nr-2526-size-14,14,trivial,43,3,0,0.2150959335267544,True,43,0.000905872,1.0
2527,bio-nr-2527-size-13,13,trivial,270,3,0,0.2246960066258908,True,270,0.00133285,1.0
2528,bio-nr-2528-size-16,16,trivial,1647,3,0,0.2312259748578072,True,1647,0.0031010440000000003,1.0
2529,bio-nr-2529-size-28,28,trivial,0,3,0,0.41396101005375385,True,0,0.0006406340000000001,1.0
2530,bio-nr-2530-size-13,13,trivial,1596,3,0,0.22049201652407646,True,1596,0.00500681,1.0
2531,bio-nr-2531-size-7,7,trivial,0,3,0,0.16875704750418666,True,0,0.00020307299999999999,1.0
2532,bio-nr-2532-size-14,14,trivial,182,3,0,0.20595407113432884,True,182,0.000910726,1.0
2533,bio-nr-2533-size-4,4,trivial,0,2,0,24.488766910508275,True,0,0.000188709,1.0
2534,bio-nr-2534-size-6,6,trivial,0,3,0,0.15203794464468956,True,0,0.00015831799999999998,1.0
2535,bio-nr-2535-size-24,24,trivial,1446,3,0,0.3321089316159487,True,1446,0.018457666,1.0
2536,bio-nr-2536-size-72,72,trivial,21531,2,0,0.7511489093303679,False,-1,-1.0,-1.0
2537,bio-nr-2537-size-12,12,trivial,44,3,0,0.1882431097328663,True,44,0.000983741,1.0
2538,bio-nr-2538-size-4,4,trivial,0,2,0,0.13175606727600098,True,0,0.00020459900000000002,1.0
2539,bio-nr-2539-size-4,4,trivial,0,2,0,0.14402298256754875,True,0,0.000201067,1.0
2540,bio-nr-2540-size-4,4,trivial,0,2,0,0.15282095409929752,True,0,0.000202892,1.0
2541,bio-nr-2541-size-3,3,trivial,0,2,0,0.12490595690906048,True,0,0.00020349400000000003,1.0
2542,bio-nr-2542-size-8,8,trivial,135,3,0,0.16128993593156338,True,135,0.001019671,1.0
2543,bio-nr-2543-size-8,8,trivial,342,3,0,0.17197802662849426,True,342,0.000839327,1.0
2544,bio-nr-2544-size-18,18,trivial,0,3,0,0.2631000243127346,True,0,0.000377406,1.0
2545,bio-nr-2545-size-4,4,trivial,99,2,0,0.1398739404976368,True,99,0.0006651989999999999,1.0
2546,bio-nr-2546-size-8,8,trivial,297,3,0,27.306047035381198,True,297,0.0009055539999999999,1.0
